,,,,,,,Per Game,,,,,,Shooting,,,Advanced,
Season,Lg,Player,Voting,Age,Tm,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48
2018-19,NBA,Luka Dončić,(V),19,DAL,72,32.2,21.2,7.8,6,1.1,0.3,0.427,0.327,0.713,4.9,0.101
2017-18,NBA,Ben Simmons,(V),21,PHI,81,33.7,15.8,8.1,8.2,1.7,0.9,0.545,0,0.56,9.2,0.162
2016-17,NBA,Malcolm Brogdon,(V),24,MIL,75,26.4,10.2,2.8,4.2,1.1,0.2,0.457,0.404,0.865,4.1,0.1
2015-16,NBA,Karl-Anthony Towns,(V),20,MIN,82,32,18.3,10.5,2,0.7,1.7,0.542,0.341,0.811,8.3,0.151
2014-15,NBA,Andrew Wiggins,(V),19,MIN,82,36.2,16.9,4.6,2.1,1,0.6,0.437,0.31,0.76,2.1,0.034
2013-14,NBA,Michael Carter-Williams,(V),22,PHI,70,34.5,16.7,6.2,6.3,1.9,0.6,0.405,0.264,0.703,1.3,0.026
2012-13,NBA,Damian Lillard,(V),22,POR,82,38.6,19,3.1,6.5,0.9,0.2,0.429,0.368,0.844,5.8,0.088
2011-12,NBA,Kyrie Irving,(V),19,CLE,51,30.5,18.5,3.7,5.4,1.1,0.4,0.469,0.399,0.872,4.1,0.125
2010-11,NBA,Blake Griffin,(V),21,LAC,82,38,22.5,12.1,3.8,0.8,0.5,0.506,0.292,0.642,9.8,0.152
2009-10,NBA,Tyreke Evans,(V),20,SAC,72,37.2,20.1,5.3,5.8,1.5,0.4,0.458,0.255,0.748,5.4,0.097
2008-09,NBA,Derrick Rose,(V),20,CHI,81,37,16.8,3.9,6.3,0.8,0.2,0.475,0.222,0.788,4.9,0.078
2007-08,NBA,Kevin Durant,(V),19,SEA,80,34.6,20.3,4.4,2.4,1,0.9,0.43,0.288,0.873,2.3,0.04
2006-07,NBA,Brandon Roy,(V),22,POR,57,35.4,16.8,4.4,4,1.2,0.2,0.456,0.377,0.838,4.8,0.114
2005-06,NBA,Chris Paul,(V),20,NOK,78,36,16.1,5.1,7.8,2.2,0.1,0.43,0.282,0.847,10.4,0.178
2004-05,NBA,Emeka Okafor,(V),22,CHA,73,35.6,15.1,10.9,0.9,0.8,1.7,0.447,0,0.609,4,0.074
2003-04,NBA,LeBron James,(V),19,CLE,79,39.5,20.9,5.5,5.9,1.6,0.7,0.417,0.29,0.754,5.1,0.078
2002-03,NBA,Amar'e Stoudemire,(V),20,PHO,82,31.3,13.5,8.8,1,0.8,1.1,0.472,0.2,0.661,6.2,0.116
2001-02,NBA,Pau Gasol,(V),21,MEM,82,36.7,17.6,8.9,2.7,0.5,2.1,0.518,0.2,0.709,7.6,0.121
2000-01,NBA,Mike Miller,(V),20,ORL,82,29.1,11.9,4,1.7,0.6,0.2,0.436,0.407,0.711,5.3,0.106
1999-00,NBA,Steve Francis (Tie),(V),22,HOU,77,36.1,18,5.3,6.6,1.5,0.4,0.445,0.345,0.786,6.4,0.111
1999-00,NBA,Elton Brand (Tie),(V),20,CHI,81,37,20.1,10,1.9,0.8,1.6,0.482,0,0.685,7.5,0.121
1998-99,NBA,Vince Carter,(V),22,TOR,50,35.2,18.3,5.7,3,1.1,1.5,0.45,0.288,0.761,5,0.136
1997-98,NBA,Tim Duncan,(V),21,SAS,82,39.1,21.1,11.9,2.7,0.7,2.5,0.549,0,0.662,12.8,0.192
1996-97,NBA,Allen Iverson,(V),21,PHI,76,40.1,23.5,4.1,7.5,2.1,0.3,0.416,0.341,0.702,4.1,0.065
1995-96,NBA,Damon Stoudamire,(V),22,TOR,70,40.9,19,4,9.3,1.4,0.3,0.426,0.395,0.797,4.3,0.072
1994-95,NBA,Jason Kidd (Tie),(V),21,DAL,79,33.8,11.7,5.4,7.7,1.9,0.3,0.385,0.272,0.698,3.7,0.066
1994-95,NBA,Grant Hill (Tie),(V),22,DET,70,38.3,19.9,6.4,5,1.8,0.9,0.477,0.148,0.732,5.4,0.097
1993-94,NBA,Chris Webber,(V),20,GSW,76,32.1,17.5,9.1,3.6,1.2,2.2,0.552,0,0.532,7.8,0.154
1992-93,NBA,Shaquille O'Neal,(V),20,ORL,81,37.9,23.4,13.9,1.9,0.7,3.5,0.562,0,0.592,10.4,0.163
1991-92,NBA,Larry Johnson,(V),22,CHH,82,37.2,19.2,11,3.6,1,0.6,0.49,0.227,0.829,8.9,0.14
1990-91,NBA,Derrick Coleman,(V),23,NJN,74,35.2,18.4,10.3,2.2,1,1.3,0.467,0.342,0.731,5.8,0.108
1989-90,NBA,David Robinson,(V),24,SAS,82,36.6,24.3,12,2,1.7,3.9,0.531,0,0.732,15.1,0.241
1988-89,NBA,Mitch Richmond,(V),23,GSW,79,34.4,22,5.9,4.2,1,0.2,0.468,0.367,0.81,5.6,0.098
1987-88,NBA,Mark Jackson,(V),22,NYK,82,39.6,13.6,4.8,10.6,2.5,0.1,0.432,0.254,0.774,7.6,0.113
1986-87,NBA,Chuck Person,(V),22,IND,82,36,18.8,8.3,3.6,1.1,0.2,0.468,0.355,0.747,5.4,0.088
1985-86,NBA,Patrick Ewing,(V),23,NYK,50,35.4,20,9,2,1.1,2.1,0.474,0,0.739,3.1,0.084
1984-85,NBA,Michael Jordan,(V),21,CHI,82,38.3,28.2,6.5,5.9,2.4,0.8,0.515,0.173,0.845,14,0.213
1983-84,NBA,Ralph Sampson,(V),23,HOU,82,32.8,21,11.1,2,0.9,2.4,0.523,0.25,0.661,6,0.108
1982-83,NBA,Terry Cummings,(V),21,SDC,70,36.2,23.7,10.6,2.5,1.8,0.9,0.523,0,0.709,8.7,0.164
1981-82,NBA,Buck Williams,(V),21,NJN,82,34.5,15.5,12.3,1.3,1,1,0.582,0,0.624,8.9,0.152
1980-81,NBA,Darrell Griffith,(V),22,UTA,81,35.4,20.6,3.6,2.4,1.3,0.5,0.464,0.192,0.716,0.4,0.006
1979-80,NBA,Larry Bird,(V),23,BOS,82,36,21.3,10.4,4.5,1.7,0.6,0.474,0.406,0.836,11.2,0.182
1978-79,NBA,Phil Ford,(V),22,KCK,79,34.5,15.9,2.3,8.6,2.2,0.1,0.465,,0.813,5.7,0.101
1977-78,NBA,Walter Davis,(V),23,PHO,81,32,24.2,6,3.4,1.4,0.2,0.526,,0.83,10.1,0.187
1976-77,NBA,Adrian Dantley,(V),21,BUF,77,36.6,20.3,7.6,1.9,1.2,0.2,0.52,,0.818,9.8,0.167
1975-76,NBA,Alvan Adams,(V),21,PHO,80,33.2,19,9.1,5.6,1.5,1.5,0.469,,0.735,7.2,0.13
1974-75,NBA,Jamaal Wilkes,(V),21,GSW,82,30.7,14.2,8.2,2.2,1.3,0.3,0.442,,0.734,5.1,0.097
1973-74,NBA,Ernie DiGregorio,(V),23,BUF,81,35.9,15.2,2.7,8.2,0.7,0.1,0.421,,0.902,1.2,0.021
1972-73,NBA,Bob McAdoo,(V),21,BUF,80,32,18,9.1,1.7,,,0.452,,0.774,3.8,0.071
1971-72,NBA,Sidney Wicks,(V),22,POR,82,39.6,24.5,11.5,4.3,,,0.427,,0.71,2.3,0.034
1970-71,NBA,Dave Cowens (Tie),(V),22,BOS,81,38,17,15,2.8,,,0.422,,0.732,6.4,0.1
1970-71,NBA,Geoff Petrie (Tie),(V),22,POR,82,37,24.8,3.4,4.8,,,0.443,,0.772,6.2,0.099
1969-70,NBA,Kareem Abdul-Jabbar,(V),22,MIL,82,43.1,28.8,14.5,4.1,,,0.518,,0.653,13.8,0.187
1968-69,NBA,Wes Unseld,(V),22,BAL,82,36.2,13.8,18.2,2.6,,,0.476,,0.605,10.8,0.175
1967-68,NBA,Earl Monroe,(V),23,BAL,82,36.7,24.3,5.7,4.3,,,0.453,,0.781,9.3,0.148
1966-67,NBA,Dave Bing,(V),23,DET,80,34.5,20,4.5,4.1,,,0.436,,0.738,5.3,0.092
1965-66,NBA,Rick Barry,(V),21,SFW,80,37.4,25.7,10.6,2.2,,,0.439,,0.862,10.4,0.167
1964-65,NBA,Willis Reed,(V),22,NYK,80,38,19.5,14.7,1.7,,,0.432,,0.742,5.5,0.087
1963-64,NBA,Jerry Lucas,(V),23,CIN,79,41.4,17.7,17.4,2.6,,,0.527,,0.779,12.7,0.187
1962-63,NBA,Terry Dischinger,,22,CHZ,57,40.2,25.5,8,3.1,,,0.512,,0.77,9.2,0.192
1961-62,NBA,Walt Bellamy,,22,CHP,79,42.3,31.6,19,2.7,,,0.519,,0.644,16.3,0.233
1960-61,NBA,Oscar Robertson,,22,CIN,71,42.7,30.5,10.1,9.7,,,0.473,,0.822,13.2,0.21
1959-60,NBA,Wilt Chamberlain,,23,PHW,72,46.4,37.6,27,2.3,,,0.461,,0.582,17,0.245
1958-59,NBA,Elgin Baylor,(V),24,MNL,70,40.8,24.9,15,4.1,,,0.408,,0.777,9.8,0.165
1957-58,NBA,Woody Sauldsberry,,23,PHW,71,33.5,12.8,10.3,0.8,,,0.36,,0.615,0.3,0.007
1956-57,NBA,Tom Heinsohn,,22,BOS,72,29.9,16.2,9.8,1.6,,,0.397,,0.79,7.1,0.16
1955-56,NBA,Maurice Stokes,,22,ROC,67,34.7,16.8,16.3,4.9,,,0.354,,0.714,6,0.125
1954-55,NBA,Bob Pettit,,22,MLH,72,36.9,20.4,13.8,3.2,,,0.407,,0.751,10.7,0.194
1953-54,NBA,Ray Felix,,23,BLB,72,37.1,17.6,13.3,1.1,,,0.417,,0.638,8.6,0.155
1952-53,NBA,Monk Meineke,,22,FTW,68,33.1,10.7,6.9,2.2,,,0.381,,0.783,6.1,0.13
